"","Nfu.Gene.ID","Nfu.Gene.symbol.nfu2015","Nfu.Gene.symbol.garhum"
"37","Nfu_g_1_000037","IRX6A","irx6a"
"38","Nfu_g_1_000038","AKTIP","aktip"
"39","Nfu_g_1_000039","CHD9","chd9"
"40","Nfu_g_1_000040","CYLDA","cylda"
"41","Nfu_g_1_000041","","BX248120.1"
"42","Nfu_g_1_000042","",""
"43","Nfu_g_1_000043","C18H15ORF60 (1 OF 2)","C18H15orf60 (2 of 2)"
"44","Nfu_g_1_000044","SALL1A","sall1a"
"45","Nfu_g_1_000045","CYLDA","cylda"
"46","Nfu_g_1_000046","ADCY7","adcy7"
"47","Nfu_g_1_000047","DHDHL","dhdhl"
"48","Nfu_g_1_000048","NPTNB","nptnb"
"49","Nfu_g_1_000049","SHF (2 OF 2)","shdb"
"50","Nfu_g_1_000050","LPCAT2","lpcat2"
"51","Nfu_g_1_000051","DPEP2","DPEP2"
"52","Nfu_g_1_000052","CELF6","celf4"
"53","Nfu_g_1_000053","",""
"54","Nfu_g_1_000054","PARP6A","parp6b"
"55","Nfu_g_1_000055","RPP25","rpp25l"
"56","Nfu_g_1_000056","OLA.17409","ugt5c1"
"57","Nfu_g_1_000057","SI:DKEYP-122A9.2","si:dkeyp-122a9.2"
"58","Nfu_g_1_000058","NKD1","nkd1"
"59","Nfu_g_1_000059","IRX3","irx3a"
"60","Nfu_g_1_000060","FTO","fto"
"61","Nfu_g_1_000061","","rad52"
"62","Nfu_g_1_000062","UBE2Q2","ube2q2"
"63","Nfu_g_1_000063","SLC12A4","slc12a4"
"64","Nfu_g_1_000064","CHRNA3","chrna3"
"65","Nfu_g_1_000065","BRD7","brd7"
"66","Nfu_g_1_000066","MMP2","mmp2"
"67","Nfu_g_1_000067","UGT5F1","ugt5f1"
"68","Nfu_g_1_000068","CHRNB4","CHRNB4"
"69","Nfu_g_1_000069","CHRNA5","chrna5"
"70","Nfu_g_1_000070","",""
"71","Nfu_g_1_000071","MBOAT2B","mboat2a"
"72","Nfu_g_1_000072","OLA.6916",""
"73","Nfu_g_1_000073","OPN4A","opn4a"
"74","Nfu_g_1_000074","ARHGAP15","arhgap15"
"75","Nfu_g_1_000075","KIF5C","kif5c"
"76","Nfu_g_1_000076","CABZ01064447.1","IFT74"
"77","Nfu_g_1_000077","STUB1","stub1"
"78","Nfu_g_1_000078","PRPF40A","prpf40a"
"79","Nfu_g_1_000079","FAM171B (2 OF 2)","march7"
"80","Nfu_g_1_000080","","si:dkey-205h13.2"
"81","Nfu_g_1_000081","RNASEH1","rnaseh1"
"82","Nfu_g_1_000082","","senp6a"
"83","Nfu_g_1_000083","NKX2-4","zgc:171531"
"84","Nfu_g_1_000084","COL12A1","COL12A1"
"85","Nfu_g_1_000085","MYO6A","myo6a"
"86","Nfu_g_1_000086","NAA20","naa20"
"87","Nfu_g_1_000087","SNX14","snx14"
"88","Nfu_g_1_000088","FLRT2","flrt2"
"89","Nfu_g_1_000089","TDRD6","tdrd6"
"90","Nfu_g_1_000090","IMPG1A","impg1a"
"91","Nfu_g_1_000091","HTR1B (2 OF 2)","htr1b"
"92","Nfu_g_1_000092","PLA2G7","pla2g7"
"93","Nfu_g_1_000093","OLA.26838","serpina1"
"94","Nfu_g_1_000094","PEX7","pex7"
"95","Nfu_g_1_000095","VSNL1B","vsnl1a"
"96","Nfu_g_1_000096","CABZ01118775.1","CABZ01118775.1"
"97","Nfu_g_1_000097","","zgc:172112"
"98","Nfu_g_1_000098","SYNCRIP","syncrip"
"99","Nfu_g_1_000099","TXLNBA","txlnba"
"100","Nfu_g_1_000100","",""
"101","Nfu_g_1_000101","PRKRIP1","prkrip1"
"102","Nfu_g_1_000102","NKX2.2B","nkx2.2a"
"103","Nfu_g_1_000103","NT5E","nt5e"
"104","Nfu_g_1_000104","MYT1LA","myt1la"
"105","Nfu_g_1_000105","GLRX5","glrx5"
"106","Nfu_g_1_000106","COL12A1","COL12A1"
"107","Nfu_g_1_000107","OLA.8711",""
"108","Nfu_g_1_000108","CEBPZ","CEBPZ (1 of 2)"
"109","Nfu_g_1_000109","MEI4","mei4"
"110","Nfu_g_1_000110","NDUFAF7","C20H2orf56"
"111","Nfu_g_1_000111","HEY2","hey2"
"112","Nfu_g_1_000112","COX7A2","cox7a2"
"113","Nfu_g_1_000113","SLC35D3","SLC35D3"
"114","Nfu_g_1_000114","COL12A1","COL12A1"
"115","Nfu_g_1_000115","XRN2","xrn2"
"116","Nfu_g_1_000116","",""
"117","Nfu_g_1_000117","NKX2-4","nkx2.1a"
"118","Nfu_g_1_000118","","sc:d136"
"119","Nfu_g_1_000119","RPS7","rps7"
"120","Nfu_g_1_000120","ARHGAP30","CU984580.4"
"121","Nfu_g_1_000121","SF3B14","sf3b14"
"122","Nfu_g_1_000122","CRNKL1","crnkl1"
"123","Nfu_g_1_000123","INTS9","ints9"
"124","Nfu_g_1_000124","BUB1","BUB1"
"125","Nfu_g_1_000125","","si:ch211-271g18.3"
"126","Nfu_g_1_000126","","BX004873.1"
"127","Nfu_g_1_000127","CR392001.1","CR392001.1"
"128","Nfu_g_1_000128","VPS16","VPS16"
"129","Nfu_g_1_000129","GIT1","GIT1"
"130","Nfu_g_1_000130","FBF1","acin1a"
"131","Nfu_g_1_000131","","si:ch73-18b11.1"
"132","Nfu_g_1_000132","PDCD7","pdcd7"
"133","Nfu_g_1_000133","BNC1","BNC1"
"134","Nfu_g_1_000134","TMC3","TMC3"
"135","Nfu_g_1_000135","Sp-PolypL_75",""
"136","Nfu_g_1_000136","","BX663505.1"
"137","Nfu_g_1_000137","","zgc:136254"
"138","Nfu_g_1_000138","","si:ch211-271g18.3"
"139","Nfu_g_1_000139","RARB","rargb"
"140","Nfu_g_1_000140","FBLN1 (1 OF 2)","CABZ01109634.1"
"141","Nfu_g_1_000141","FBLN1 (1 OF 2)","fbln1"
"142","Nfu_g_1_000142","WDR52","WDR52"
"143","Nfu_g_1_000143","WDR52","WDR65"
"144","Nfu_g_1_000144","MYO5B","myo5b"
"145","Nfu_g_1_000145","","BX321870.2"
"146","Nfu_g_1_000146","HSPA13","hspa13"
"147","Nfu_g_1_000147","SAMSN1A","samsn1a"
"148","Nfu_g_1_000148","","si:dkeyp-80c12.8"
"149","Nfu_g_1_000149","","si:dkeyp-113d7.10"
"150","Nfu_g_1_000150","PLEKHG4B","PLEKHG4B (1 of 2)"
"151","Nfu_g_1_000151","",""
"152","Nfu_g_1_000152","GALNT7","galnt7"
"153","Nfu_g_1_000153","VPS37C","VPS37C"
"154","Nfu_g_1_000154","TNFRSF21","tnfrsf21"
"155","Nfu_g_1_000155","CABZ01069162.1","PGBD4 (1 of 7)"
"156","Nfu_g_1_000156","","HRC"
"157","Nfu_g_1_000157","",""
"158","Nfu_g_1_000158","","si:ch211-271g18.3"
"159","Nfu_g_1_000159","","si:ch211-208f21.5"
"160","Nfu_g_1_000160","GABRG3 (2 OF 2)","GABRG3"
"161","Nfu_g_1_000161","USP48","usp48"
"162","Nfu_g_1_000162","ZGC:194221","zgc:194221"
"163","Nfu_g_1_000163","LPPR2A","zgc:63577"
"164","Nfu_g_1_000164","TBX19","tbx19"
"165","Nfu_g_1_000165","MMP20","MMP20"
"166","Nfu_g_1_000166","SGCG","SGCG (1 of 2)"
"167","Nfu_g_1_000167","B3GAT1","b3gat1"
"168","Nfu_g_1_000168","RPS25","rps25"
"169","Nfu_g_1_000169","PRUNE","prune"
"170","Nfu_g_1_000170","KIRREL3","kirrel3a"
"171","Nfu_g_1_000171","",""
"172","Nfu_g_1_000172","",""
"173","Nfu_g_1_000173","TBX4","tbx4"
"174","Nfu_g_1_000174","IGSF5 (2 OF 2)","IGSF5 (2 of 2)"
"175","Nfu_g_1_000175","RBMX2","rbmx2"
"176","Nfu_g_1_000176","ILVBL","ilvbl"
"177","Nfu_g_1_000177","TNFRSF19","tnfrsf19"
"178","Nfu_g_1_000178","TBX2B","tbx2b"
"179","Nfu_g_1_000179","","si:ch211-155i14.1"
"180","Nfu_g_1_000180","SLC37A4A","slc37a4a"
"181","Nfu_g_1_000181","",""
"182","Nfu_g_1_000182","USP32","USP6"
"183","Nfu_g_1_000183","GRAMD1B","GRAMD1B (2 of 2)"
"184","Nfu_g_1_000184","CLMP","CLMP"
"185","Nfu_g_1_000185","KCNJ5","KCNJ5"
"186","Nfu_g_1_000186","CLTC (2 OF 2)","cltcb"
"187","Nfu_g_1_000187","BCAS3","bcas3"
"188","Nfu_g_1_000188","BNIPL","bnipl"
"189","Nfu_g_1_000189","ST3GAL4","st3gal4"
"190","Nfu_g_1_000190","TRAPPC4","trappc4"
"191","Nfu_g_1_000191","BCAS3 (1 OF 3)","bcas3"
"192","Nfu_g_1_000192","SERPINH1B","hsp47"
"193","Nfu_g_1_000193","GUCY2F","gucy2f"
"194","Nfu_g_1_000194","POLR2I","polr2i"
"195","Nfu_g_1_000195","MMP13B","mmp13b"
"196","Nfu_g_1_000196","GRAMD1B","GRAMD1B (1 of 2)"
"197","Nfu_g_1_000197","TXNIPB","txnipa"
"198","Nfu_g_1_000198","BRWD1","brwd1"
"199","Nfu_g_1_000199","",""
"200","Nfu_g_1_000200","SH3BGR","sh3bgr"
"201","Nfu_g_1_000201","FAM118B","fam118b"
"202","Nfu_g_1_000202","C5AR1","C5AR1"
"203","Nfu_g_1_000203","DHRS13 (1 OF 2)","dhrs13b"
"204","Nfu_g_1_000204","MIPEP","mipep"
"205","Nfu_g_1_000205","PPM1DA","ppm1db"
"206","Nfu_g_1_000206","USP32","USP6"
"207","Nfu_g_1_000207","CR848664.1","CR848664.1"
"208","Nfu_g_1_000208","FOXG1C","foxg1c"
"209","Nfu_g_1_000209","CABZ01080492.1","CABZ01080492.1"
"210","Nfu_g_1_000210","TBRG1","tbrg1"
"211","Nfu_g_1_000211","FLI1A","fli1a"
"212","Nfu_g_1_000212","CCDC19","CCDC19"
"213","Nfu_g_1_000213","KCNJ1 (1 OF 2)","kcnj1"
"214","Nfu_g_1_000214","WRB","wrb"
"215","Nfu_g_1_000215","TMEM100 (2 OF 2)","TMEM100 (1 of 2)"
"216","Nfu_g_1_000216","si:ch1073-145m9.1","cdipt"
"217","Nfu_g_1_000217","SACS","SACS (2 of 2)"
"218","Nfu_g_1_000218","BCAS3","bcas3"
"219","Nfu_g_1_000219","SNRPD2","snrpd2"
"220","Nfu_g_1_000220","APPBP2","appbp2"
"221","Nfu_g_1_000221","PGLYRP5","pglyrp5"
"222","Nfu_g_1_000222","SRPR","srpr"
"223","Nfu_g_1_000223","DACT3 (1 OF 2)","DACT3 (1 of 2)"
"224","Nfu_g_1_000224","ULK2","ulk1b"
"225","Nfu_g_1_000225","BX537138.1","GDPD5 (1 of 2)"
"226","Nfu_g_1_000226","BRIP1","brip1"
"227","Nfu_g_1_000227","TSKU","tsku"
"228","Nfu_g_1_000228","TBX2B","tbx2b"
"229","Nfu_g_1_000229","LHX1A","lhx1a"
"230","Nfu_g_1_000230","TMEM97","TMEM97"
"231","Nfu_g_1_000231","",""
"232","Nfu_g_1_000232","TIRAP","tirap"
"233","Nfu_g_1_000233","LBH","LBH"
"234","Nfu_g_1_000234","VASP","vasp"
"235","Nfu_g_1_000235","OLA.3124","si:dkey-224e22.2"
"236","Nfu_g_1_000236","SI:DKEY-3N22.9","si:dkey-3n22.9"
"237","Nfu_g_1_000237","SI:DKEY-3N22.9","si:dkey-3n22.9"
"238","Nfu_g_1_000238","SNX33","snx33"
"239","Nfu_g_1_000239","SI:CH211-209J12.2","si:ch211-209j12.2"
"240","Nfu_g_1_000240","",""
"241","Nfu_g_1_000241","CABZ01062083.1","EFCAB4B (1 of 2)"
"242","Nfu_g_1_000242","LRTOMT","comta"
"243","Nfu_g_1_000243","",""
"244","Nfu_g_1_000244","FKRP","FKRP (1 of 2)"
"245","Nfu_g_1_000245","PRKD2","PRKD1"
"246","Nfu_g_1_000246","",""
"247","Nfu_g_1_000247","CCNL1","ccnl1a"
"248","Nfu_g_1_000248","LAYN (2 OF 2)","LAYN (2 of 2)"
"249","Nfu_g_1_000249","CR392354.1","CR392354.1"
"250","Nfu_g_1_000250","SPHKAP","sphkap"
"251","Nfu_g_1_000251","PPP1R37","PPP1R37 (2 of 2)"
"252","Nfu_g_1_000252","","CU570684.2"
"253","Nfu_g_1_000253","DSCAMB","dscamb"
"254","Nfu_g_1_000254","CBL (1 OF 2)","cbl"
"255","Nfu_g_1_000255","SMC4","smc4"
"256","Nfu_g_1_000256","BX530409.1","nbeaa"
"257","Nfu_g_1_000257","TSR1","tsr1"
"258","Nfu_g_1_000258","RNF26","rnf26"
"259","Nfu_g_1_000259","TRAF4A","traf4a"
"260","Nfu_g_1_000260","ODZ4","odz4"
"261","Nfu_g_1_000261","CR478286.1","CR478286.2"
"262","Nfu_g_1_000262","CCDC106","ccdc106"
"263","Nfu_g_1_000263","MLF1","MLF1"
"264","Nfu_g_1_000264","","or129-1"
"265","Nfu_g_1_000265","FZD9B","fzd9b"
"266","Nfu_g_1_000266","FAM168A","fam168a"
"267","Nfu_g_1_000267","V2RX3","v2rx3"
"268","Nfu_g_1_000268","ZNF296","znf296"
"269","Nfu_g_1_000269","CU570791.1","CU570791.1"
"270","Nfu_g_1_000270","AASDHPPT","AASDHPPT"
"271","Nfu_g_1_000271","PGR","pgr"
"272","Nfu_g_1_000272","YIF1B","yif1b"
"273","Nfu_g_1_000273","TBCB","tbcb"
"274","Nfu_g_1_000274","FXYD6","fxyd6"
"275","Nfu_g_1_000275","","HIST2H2AB (20 of 23)"
"276","Nfu_g_1_000276","MNT","mntb"
"277","Nfu_g_1_000277","COG6","cog6"
"278","Nfu_g_1_000278","PIH1D2","pih1d2"
"279","Nfu_g_1_000279","SAMD4B","CU464134.1"
"280","Nfu_g_1_000280","CT027778.1","CT027778.1"
"281","Nfu_g_1_000281","","zgc:158614"
"282","Nfu_g_1_000282","BRD4","brd4"
"283","Nfu_g_1_000283","SIK2B","sik2b"
"284","Nfu_g_1_000284","CR942805.1","AIPL1"
"285","Nfu_g_1_000285","MFF","mff"
"286","Nfu_g_1_000286","AL954372.1",""
"287","Nfu_g_1_000287","","atm"
"288","Nfu_g_1_000288","SI:DKEY-14D8.20","si:dkey-14d8.20"
"289","Nfu_g_1_000289","GIN1","CU459095.1"
"290","Nfu_g_1_000290","","si:dkey-47k20.3"
"291","Nfu_g_1_000291","HIP1","hip1"
"292","Nfu_g_1_000292","GPR149","HTR2B"
"293","Nfu_g_1_000293","ITPKCB","itpkcb"
"294","Nfu_g_1_000294","MAP3K10","map3k10"
"295","Nfu_g_1_000295","OLA.5237","zgc:92630"
"296","Nfu_g_1_000296","VTNA","vtna"
"297","Nfu_g_1_000297","CEP57","CEP57"
"298","Nfu_g_1_000298","GEMIN7","GEMIN7"
"299","Nfu_g_1_000299","PSPH","PSPH"
"300","Nfu_g_1_000300","PDE2A","PDE2A (1 of 3)"
"301","Nfu_g_1_000301","SIX4.3","six4.3"
"302","Nfu_g_1_000302","BX572077.3","BX572077.2"
"303","Nfu_g_1_000303","KIAA0753",""
"304","Nfu_g_1_000304","","CABZ01032951.1"
"305","Nfu_g_1_000305","EHD2","ehd2"
"306","Nfu_g_1_000306","CRYBB1L3","crybb1l3"
"307","Nfu_g_1_000307","GBAS (1 OF 2)","gbas"
"308","Nfu_g_1_000308","NARS2","NARS2"
"309","Nfu_g_1_000309","","CU695176.1"
"310","Nfu_g_1_000310","KIAA1456","zgc:73340"
"311","Nfu_g_1_000311","CR388091.1","DCHS1 (2 of 2)"
"312","Nfu_g_1_000312","H2B","HIST1H2BM (3 of 7)"
"313","Nfu_g_1_000313","HNRNPL","hnrpl"
"314","Nfu_g_1_000314","EHD2 (2 OF 2)","ehd2"
"315","Nfu_g_1_000315","CABZ01024201.1","RASA2"
"316","Nfu_g_1_000316","SLC25A15A","slc25a15a"
"317","Nfu_g_1_000317","VPS53","vps53"
"318","Nfu_g_1_000318","","BX511080.1"
"319","Nfu_g_1_000319","FNDC3A","FNDC3A"
"320","Nfu_g_1_000320","","megf6a"
"321","Nfu_g_1_000321","CAPTEDRAFT_193490",""
"322","Nfu_g_1_000322","FAM101B","fam101b"
"323","Nfu_g_1_000323","",""
"324","Nfu_g_1_000324","AL935181.3","AL935181.3"
"325","Nfu_g_1_000325","DCHS1","AL929092.4"
"326","Nfu_g_1_000326","","si:dkey-281i8.1"
"327","Nfu_g_1_000327","","pcp4a"
"328","Nfu_g_1_000328","",""
"329","Nfu_g_1_000329","CR853282.2","slc47a2"
"330","Nfu_g_1_000330","FRYA","frya"
"331","Nfu_g_1_000331","","v2ra17"
"332","Nfu_g_1_000332","TRIM3A","trim3b"
"333","Nfu_g_1_000333","ROBO2 (1 OF 2)","ROBO2 (1 of 2)"
"334","Nfu_g_1_000334","CENPE","tax1bp1a"
"335","Nfu_g_1_000335","OLA.28222","lrtomt"
"336","Nfu_g_1_000336","","caspa"
"337","Nfu_g_1_000337","","zgc:114130"
"338","Nfu_g_1_000338","NEK3","NEK3"
"339","Nfu_g_1_000339","BAZ1B","baz1b"
"340","Nfu_g_1_000340","CABZ01080599.1","CABZ01080599.1"
"341","Nfu_g_1_000341","SHOX2","shox2"
"342","Nfu_g_1_000342","ALKBH8","ALKBH8"
"343","Nfu_g_1_000343","CHRNA10","chrna10"
"344","Nfu_g_1_000344","SLCO1C1","slco1c1"
"345","Nfu_g_1_000345","ZBBX","zbbx"
"346","Nfu_g_1_000346","VMP1","vmp1"
"347","Nfu_g_1_000347","","si:ch211-203b20.7"
"348","Nfu_g_1_000348","FOXO1A","foxo1b"
"349","Nfu_g_1_000349","AP2S1","ap2s1"
"350","Nfu_g_1_000350","","si:dkey-47k20.7"
"351","Nfu_g_1_000351","SOCS9","socs9"
"352","Nfu_g_1_000352","CU856359.2","CU856359.3"
"353","Nfu_g_1_000353","CENPE","CENPE"
"354","Nfu_g_1_000354","RAB4B","rab4b"
"355","Nfu_g_1_000355","FOSB","fosb"
"356","Nfu_g_1_000356","","si:ch211-263k4.2"
"357","Nfu_g_1_000357","P2RY2","P2RY2 (2 of 3)"
"358","Nfu_g_1_000358","IFT80","TRIM59"
"359","Nfu_g_1_000359","GMPS","gmps"
"360","Nfu_g_1_000360","SCAF4B","scaf4a"
"361","Nfu_g_1_000361","",""
"362","Nfu_g_1_000362","","BX927308.2"
"363","Nfu_g_1_000363","ABHD15","ABHD15"
"364","Nfu_g_1_000364","C1QTNF5","c1qtnf5"
"365","Nfu_g_1_000365","CPDA","cpd"
"366","Nfu_g_1_000366","RELT","relt"
"367","Nfu_g_1_000367","MED13B","med13a"
"368","Nfu_g_1_000368","SERPINF2B","serpinf2b"
"369","Nfu_g_1_000369","MECOM","mecom"
"370","Nfu_g_1_000370","","CU929403.1"
"371","Nfu_g_1_000371","","CR626889.2"
"372","Nfu_g_1_000372","SEPT4 (1 OF 2)","sept4a"
"373","Nfu_g_1_000373","LIMK1A","limk1a"
"374","Nfu_g_1_000374","RELB","relb"
"375","Nfu_g_1_000375","CAPN12","zgc:85932"
"376","Nfu_g_1_000376","YAP1","yap1"
"377","Nfu_g_1_000377","","hist2h3ca1"
"378","Nfu_g_1_000378","","zgc:158328"
"379","Nfu_g_1_000379","TIAM1 (1 OF 2)","TIAM1 (1 of 2)"
"380","Nfu_g_1_000380","BCAP29 (1 OF 2)","bcap29"
"381","Nfu_g_1_000381","SRPRB","SRPRB"
"382","Nfu_g_1_000382","CR391924.1","CR391924.1"
"383","Nfu_g_1_000383","PTGIR","PTGIR"
"384","Nfu_g_1_000384","NEU4","neu4"
"385","Nfu_g_1_000385","RILP","RILP"
"386","Nfu_g_1_000386","FAM98C","FAM98C"
"387","Nfu_g_1_000387","B3GNT2L","b3gnt2l"
"388","Nfu_g_1_000388","STOML3 (2 OF 2)","stoml3b"
"389","Nfu_g_1_000389","CABZ01079192.1","SI"
"390","Nfu_g_1_000390","PHOX2A","phox2a"
"391","Nfu_g_1_000391","HNF1BA","hnf1ba"
"392","Nfu_g_1_000392","ACAD8","acad8"
"393","Nfu_g_1_000393","SARM1","sarm1"
"394","Nfu_g_1_000394","",""
"395","Nfu_g_1_000395","CLPB","CLPB"
"396","Nfu_g_1_000396","ARHGAP42","ARHGAP42 (2 of 2)"
"397","Nfu_g_1_000397","RABGEF1L","rabgef1"
"398","Nfu_g_1_000398","","si:ch211-195m9.3"
"399","Nfu_g_1_000399","GUCY1A2","GUCY1A2"
"400","Nfu_g_1_000400","TMPRSS5","TMPRSS5"
"401","Nfu_g_1_000401","","CABZ01069745.1"
"402","Nfu_g_1_000402","QPCTL","qpctla"
"403","Nfu_g_1_000403","ZBTB38","zbtb38"
"404","Nfu_g_1_000404","ILK","ilk"
"405","Nfu_g_1_000405","ESAM (1 OF 2)","ESAM (1 of 2)"
"406","Nfu_g_1_000406","RNF7","rnf7"
"407","Nfu_g_1_000407","P4HA3","p4ha3"
"408","Nfu_g_1_000408","BX000999.4","AADACL2"
"409","Nfu_g_1_000409","NEU4","neu4"
"410","Nfu_g_1_000410","","si:ch211-203b20.4"
"411","Nfu_g_1_000411","PRCP","prcp"
"412","Nfu_g_1_000412","OJ1595_D08.12-1","sh2b1"
"413","Nfu_g_1_000413","TMPRSS4B","tmprss4a"
"414","Nfu_g_1_000414","NPAS3B","npas3b"
"415","Nfu_g_1_000415","SI:CH211-229C8.13","si:ch211-229c8.13"
"416","Nfu_g_1_000416","STIM1A","stim1a"
"417","Nfu_g_1_000417","NXN","nxn"
"418","Nfu_g_1_000418","RAP2B (2 OF 2)","rap2b"
"419","Nfu_g_1_000419","CENPE","CENPE"
"420","Nfu_g_1_000420","SEPT4 (1 OF 2)","sept4a"
"421","Nfu_g_1_000421","","si:ch211-195m9.3"
"422","Nfu_g_1_000422","","CABZ01012890.1"
"423","Nfu_g_1_000423","ELNA","elna"
"424","Nfu_g_1_000424","PSMD8","psmd8"
"425","Nfu_g_1_000425","CR382327.2","CR382327.4"
"426","Nfu_g_1_000426","TAOK1 (2 OF 2)","TAOK1 (1 of 3)"
"427","Nfu_g_1_000427","CABZ01114098.1","PDGFD"
"428","Nfu_g_1_000428","CR855379.1","N4BP2L1"
"429","Nfu_g_1_000429","DUS4L","dus4l"
"430","Nfu_g_1_000430","MRPL44","mrpl44"
"431","Nfu_g_1_000431","SCN2B","scn2b"
"432","Nfu_g_1_000432","","v2ra17"
"433","Nfu_g_1_000433","MAB21L1","mab21l1"
"434","Nfu_g_1_000434","CXCR5","CXCR5"
"435","Nfu_g_1_000435","ST14A","st14a"
"436","Nfu_g_1_000436","","CR388163.2"
"437","Nfu_g_1_000437","PRPF8","prpf8"
"438","Nfu_g_1_000438","GMFG","gmfb"
"439","Nfu_g_1_000439","",""
"440","Nfu_g_1_000440","FOXO1A","foxo1a"
"441","Nfu_g_1_000441","BX572077.2","BX572077.3"
"442","Nfu_g_1_000442","SLC13A5","SLC13A5 (2 of 2)"
"443","Nfu_g_1_000443","RNPS1","zranb2"
"444","Nfu_g_1_000444","CU856359.1","NPAT"
"445","Nfu_g_1_000445","",""
"446","Nfu_g_1_000446","RAB34A","rab34a"
"447","Nfu_g_1_000447","CABZ01110305.1","CABZ01110305.1"
"448","Nfu_g_1_000448","PDE3A (2 OF 2)","pde3a"
"449","Nfu_g_1_000449","RRM1 (1 OF 2)","rrm1"
"450","Nfu_g_1_000450","CENPE","CENPE"
"451","Nfu_g_1_000451","ARHGAP32 (2 OF 2)","ARHGAP32"
"452","Nfu_g_1_000452","CLDN17","cldn17"
"453","Nfu_g_1_000453","STX1A","stx1b"
"454","Nfu_g_1_000454","","si:dkey-47k20.7"
"455","Nfu_g_1_000455","DHX34","dhx34"
"456","Nfu_g_1_000456","VEPH","veph"
"457","Nfu_g_1_000457","ALDOCA","aldocb"
"458","Nfu_g_1_000458","SCHIP1","schip1"
"459","Nfu_g_1_000459","RPS6KB1B","rps6kb1b"
"460","Nfu_g_1_000460","DPH1","dph1"
"461","Nfu_g_1_000461","P2RY1","P2RY1"
"462","Nfu_g_1_000462","MRPL28","mrpl28"
"463","Nfu_g_1_000463","DNER","DNER"
"464","Nfu_g_1_000464","SNRPA","snrpa"
"465","Nfu_g_1_000465","SLITRK3 (1 OF 2)","SLITRK3 (1 of 2)"
"466","Nfu_g_1_000466","CR538726.1","FAM181B"
"467","Nfu_g_1_000467","PPM1NA","ppm1na"
"468","Nfu_g_1_000468","GAB2","GAB2"
"469","Nfu_g_1_000469","TLCD1","tlcd1"
"470","Nfu_g_1_000470","UNC119","unc119b"
"471","Nfu_g_1_000471","ST14A","st14a"
"472","Nfu_g_1_000472","SPG20B","spg20b"
"473","Nfu_g_1_000473","FP016230.1","FP016230.1"
"474","Nfu_g_1_000474","RSRC1","rsrc1"
"475","Nfu_g_1_000475","RAB38A","rab38a"
"476","Nfu_g_1_000476","PID1","pid1"
"477","Nfu_g_1_000477","WDR81","WDR81"
"478","Nfu_g_1_000478","WDR53","WDR53"
"479","Nfu_g_1_000479","WDR69","wdr69"
"480","Nfu_g_1_000480","","LUC7L2"
"481","Nfu_g_1_000481","","CU929403.1"
"482","Nfu_g_1_000482","ARHGAP35 (1 OF 2)","ARHGAP35 (1 of 2)"
"483","Nfu_g_1_000483","CU633486.1","CU633486.1"
"484","Nfu_g_1_000484","DUSP14","dusp14"
"485","Nfu_g_1_000485","GRM5 (2 OF 2)","CABZ01031627.1"
"486","Nfu_g_1_000486","WDR49",""
"487","Nfu_g_1_000487","PTX3","ptx3a"
"488","Nfu_g_1_000488","CADM2B","CADM2 (1 of 2)"
